Year,Troy applied,Troy admitted,Troy rate,Athens applied,Athens admitted,Athens rate,TSD applied,TSD admitted,TSD rate,U-M applied,U-M admitted,U-M rate,ACT 25th,ACT 75th,SAT 25th,SAT 75th,% GPA 3.75+,Avg HS GPA,In-state tuition+fees,...2025$,Out-of-state tuition,Troy home value,...2025$,State appropriation,...2025$,Endowment,...2025$,Inst. scholarships,...2025$,CPI-U,Home value 48083,Home value 48084,Home value 48085,Home value 48098,Admits at 2004 odds,Admits lost vs 2004 odds,Cumulative admits lost
2004,131,94,0.71756,68,49,0.72059,199,143,0.71859,21293,13304,0.62481,26,30,1210,1400,,,8201,13978,26027,304270,518614,311817000,531477904,4282895000,7299999868,169335000,288623811,188.8833,237572,303849,293971,381687,143.0,-0.0,-0.0
2005,154,116,0.75325,90,67,0.74444,244,183,0.75,23882,13610,0.56989,26,31,1220,1420,,,9213,15188,27601,310851,512445,327944000,540623463,4855333000,8004131625,181066000,298491596,195.2917,241018,311781,301257,389349,175.3,-7.7,-7.7
2006,161,97,0.60248,95,58,0.61053,256,155,0.60547,25806,12246,0.47454,27,31,1210,1420,,,9723,15528,29131,307603,491244,318903000,509289760,5566433000,8889622635,199804000,319088034,201.5917,240564,307424,298030,384393,184.0,29.0,21.3
2007,190,129,0.67895,96,60,0.625,286,189,0.66084,27474,13826,0.50324,27,31,1220,1420,64.05,,10447,16221,29131,284342,441501,290538000,451121793,6986769000,10848438969,212358000,329730782,207.3424,225041,284277,273175,354873,205.5,16.5,37.8
2008,161,95,0.59006,87,53,0.6092,248,148,0.59677,29814,12567,0.42151,27,31,1220,1430,62.6,,11037,16504,33069,253449,378984,353058000,527929549,7462302000,11158420793,233688000,349434938,215.3025,202217,250853,243880,316845,178.2,30.2,68.0
2009,201,137,0.68159,103,71,0.68932,304,208,0.68421,29965,14970,0.49958,27,31,1230,1430,62.0,,11659,17496,34937,217893,326979,326674000,490220370,5914285000,8875218054,256597000,385059957,214.537,171237,213007,215376,271952,218.5,10.5,78.5
2010,183,142,0.77596,99,71,0.71717,282,213,0.75532,31613,16006,0.50631,27,31,1230,1440,63.1,,11837,17476,36001,201399,297351,316571000,467393932,6471770000,9555095144,272472000,402284983,218.0555,156480,194129,199707,255279,202.6,-10.4,68.1
2011,164,93,0.56707,95,61,0.64211,259,154,0.59459,39584,16073,0.40605,28,32,1250,1450,69.0,,13437,19232,39109,201298,288107,316255000,452638239,7725307000,11056803401,295906000,423513844,224.9392,151439,196517,198275,258962,186.1,32.1,100.2
2012,159,87,0.54717,77,49,0.63636,236,136,0.57627,42544,15551,0.36553,28,32,1260,1460,71.9,,13819,19377,40496,209289,293471,268804000,376924501,7586547000,10638068785,314520000,441028757,229.5939,150566,208767,206788,271034,169.6,33.6,133.8
2013,169,107,0.63314,76,44,0.57895,245,151,0.61633,46813,15570,0.3326,28,32,1280,1480,76.2,,13977,19316,41811,237019,327556,274157000,378880605,8272366000,11432277991,328392000,453832511,232.9571,170347,241295,230700,305735,176.1,25.1,158.9
